student_index,risk_score,actual_label,rank,feature,shap_value,feature_val,direction
143,0.0228,0,1,Approval_Rate_Trend,0.581,-0.125,risk
143,0.0228,0,2,Unemployment rate,0.2347,13.9,risk
143,0.0228,0,3,Mother's occupation,0.1134,25.0,risk
144,0.9605,1,1,Tuition fees up to date,2.8315,0.0,risk
144,0.9605,1,2,Approval_Rate_Sem2,0.3787,0.6,risk
144,0.9605,1,3,Financial_Risk_Score,0.3468,1.0,risk
145,0.5992,1,1,Approval_Rate_Trend,0.4931,-0.0974,risk
145,0.5992,1,2,Age at enrollment,0.4,54.0,risk
145,0.5992,1,3,Approval_Rate_Sem2,0.3847,0.7692,risk
146,0.0026,0,1,Mother's qualification,0.2087,17.0,risk
146,0.0026,0,2,Curricular units 1st sem (evaluations),0.1264,8.0,risk
146,0.0026,0,3,GDP,0.0974,-1.7,risk
147,0.1395,0,1,Debtor,0.3981,1.0,risk
147,0.1395,0,2,Financial_Risk_Score,0.373,1.0,risk
147,0.1395,0,3,Approval_Rate_Trend,0.3294,-0.2,risk
148,0.0128,0,1,GDP,0.2056,-1.7,risk
148,0.0128,0,2,Mother's occupation,0.1312,22.0,risk
148,0.0128,0,3,Scholarship holder,0.1283,0.0,risk
149,0.9936,1,1,Approval_Rate_Sem2,1.3359,0.0,risk
149,0.9936,1,2,Total_Units_Failed,1.2591,15.0,risk
149,0.9936,1,3,Curricular units 2nd sem (evaluations),0.7373,0.0,risk
150,0.566,1,1,Approval_Rate_Sem2,1.0229,0.0,risk
150,0.566,1,2,Curricular units 2nd sem (approved),0.4201,0.0,risk
150,0.566,1,3,Mother's qualification,0.3942,17.0,risk
151,0.169,0,1,Tuition fees up to date,2.6848,0.0,risk
151,0.169,0,2,GDP,0.2981,-3.12,risk
151,0.169,0,3,Age at enrollment,0.2832,35.0,risk
152,0.0101,0,1,Displaced,0.1377,1.0,risk
152,0.0101,0,2,Scholarship holder,0.134,0.0,risk
152,0.0101,0,3,Unemployment rate,0.1024,12.4,risk
153,0.0554,0,1,Approval_Rate_Sem1,0.299,0.6667,risk
153,0.0554,0,2,Approval_Rate_Sem2,0.2789,0.6667,risk
153,0.0554,0,3,Inflation rate,0.144,0.5,risk
154,0.0019,0,1,Debtor,0.2092,1.0,risk
154,0.0019,0,2,Financial_Risk_Score,0.2009,1.0,risk
154,0.0019,0,3,Curricular units 1st sem (evaluations),0.1191,7.0,risk
155,0.5485,1,1,Course,0.589,13.0,risk
155,0.5485,1,2,Age at enrollment,0.3841,36.0,risk
155,0.5485,1,3,Approval_Rate_Sem1,0.3518,0.5,risk
156,0.0489,0,1,GDP,0.1487,-3.12,risk
156,0.0489,0,2,Age at enrollment,0.1378,24.0,risk
156,0.0489,0,3,Scholarship holder,0.1228,0.0,risk
157,0.1408,0,1,Approval_Rate_Sem2,0.8326,0.3333,risk
157,0.1408,0,2,Course,0.2175,10.0,risk
157,0.1408,0,3,Application mode,0.1938,4.0,risk
158,0.0487,0,1,Father's occupation,0.4785,1.0,risk
158,0.0487,0,2,Unemployment rate,0.2017,13.9,risk
158,0.0487,0,3,Course,0.1895,14.0,risk
159,0.3021,0,1,Age at enrollment,0.5851,43.0,risk
159,0.3021,0,2,Course,0.4164,16.0,risk
159,0.3021,0,3,Approval_Rate_Sem1,0.2178,0.6,risk
160,0.0875,0,1,Inflation rate,0.3728,0.6,risk
160,0.0875,0,2,Unemployment rate,0.2742,11.1,risk
160,0.0875,0,3,Admission grade,0.2271,132.5,risk
161,0.0068,0,1,Debtor,0.2939,1.0,risk
161,0.0068,0,2,Course,0.1895,14.0,risk
161,0.0068,0,3,Financial_Risk_Score,0.1855,1.0,risk
162,0.9696,1,1,Approval_Rate_Sem2,1.4382,0.0,risk
162,0.9696,1,2,Total_Units_Failed,1.1423,10.0,risk
162,0.9696,1,3,Curricular units 2nd sem (approved),0.4402,0.0,risk
163,0.378,0,1,Approval_Rate_Sem2,0.4365,0.6,risk
163,0.378,0,2,Approval_Rate_Sem1,0.4125,0.6,risk
163,0.378,0,3,Previous qualification (grade),0.3924,115.0,risk
164,0.9933,1,1,Tuition fees up to date,1.4921,0.0,risk
164,0.9933,1,2,Approval_Rate_Sem2,0.888,0.0,risk
164,0.9933,1,3,Total_Units_Failed,0.7384,9.0,risk
165,0.0068,0,1,Scholarship holder,0.1676,0.0,risk
165,0.0068,0,2,Curricular units 2nd sem (credited),0.1426,4.0,risk
165,0.0068,0,3,Enrollment_Drop,0.1344,3.0,risk
166,0.986,1,1,Tuition fees up to date,1.7259,0.0,risk
166,0.986,1,2,Approval_Rate_Sem2,1.1128,0.0,risk
166,0.986,1,3,Total_Units_Failed,0.6588,12.0,risk
167,0.9906,1,1,Tuition fees up to date,2.0145,0.0,risk
167,0.9906,1,2,Approval_Rate_Sem2,0.7936,0.0,risk
167,0.9906,1,3,Age at enrollment,0.4979,28.0,risk
168,0.0944,0,1,Course,0.6412,15.0,risk
168,0.0944,0,2,Admission grade,0.1271,127.4,risk
168,0.0944,0,3,Curricular units 1st sem (evaluations),0.1008,7.0,risk
169,0.0148,0,1,Course,0.5587,16.0,risk
169,0.0148,0,2,Age at enrollment,0.5402,46.0,risk
169,0.0148,0,3,Mother's qualification,0.1667,17.0,risk
170,0.8449,1,1,Approval_Rate_Sem2,1.1504,0.5,risk
170,0.8449,1,2,Age at enrollment,0.7773,45.0,risk
170,0.8449,1,3,Approval_Rate_Trend,0.3434,-0.1667,risk
171,0.0335,0,1,Admission grade,0.2709,130.3,risk
171,0.0335,0,2,Course,0.179,11.0,risk
171,0.0335,0,3,Displaced,0.1481,1.0,risk
172,0.5435,1,1,Approval_Rate_Sem2,0.9927,0.0,risk
172,0.5435,1,2,Curricular units 2nd sem (evaluations),0.4085,0.0,risk
172,0.5435,1,3,Curricular units 2nd sem (approved),0.3336,0.0,risk
173,0.0423,0,1,Approval_Rate_Sem1,0.3236,0.5,risk
173,0.0423,0,2,Scholarship holder,0.1658,0.0,risk
173,0.0423,0,3,Curricular units 1st sem (grade),0.1054,11.75,risk
174,0.0796,0,1,Course,0.4242,13.0,risk
174,0.0796,0,2,Inflation rate,0.3613,0.6,risk
174,0.0796,0,3,Unemployment rate,0.3188,11.1,risk
175,0.4873,0,1,Approval_Rate_Sem2,0.9875,0.2,risk
175,0.4873,0,2,Total_Units_Failed,0.6488,8.0,risk
175,0.4873,0,3,Curricular units 2nd sem (approved),0.3405,1.0,risk
176,0.0111,0,1,Displaced,0.1692,1.0,risk
176,0.0111,0,2,Curricular units 1st sem (evaluations),0.1618,8.0,risk
176,0.0111,0,3,Scholarship holder,0.1572,0.0,risk
177,0.0409,0,1,Course,0.5365,13.0,risk
177,0.0409,0,2,Scholarship holder,0.1214,0.0,risk
177,0.0409,0,3,Curricular units 1st sem (evaluations),0.1176,7.0,risk
178,0.5595,1,1,Approval_Rate_Sem2,0.9563,0.0,risk
178,0.5595,1,2,Curricular units 2nd sem (evaluations),0.4298,0.0,risk
178,0.5595,1,3,Curricular units 2nd sem (approved),0.4072,0.0,risk
179,0.1804,0,1,Admission grade,0.4542,142.2,risk
179,0.1804,0,2,Course,0.3656,15.0,risk
179,0.1804,0,3,Mother's qualification,0.2365,18.0,risk
180,0.002,0,1,Age at enrollment,0.3399,53.0,risk
180,0.002,0,2,GDP,0.1964,-3.12,risk
180,0.002,0,3,Displaced,0.0755,1.0,risk
181,0.9474,0,1,Tuition fees up to date,2.6528,0.0,risk
181,0.9474,0,2,Approval_Rate_Sem2,0.6895,0.0,risk
181,0.9474,0,3,Curricular units 2nd sem (approved),0.3204,0.0,risk
182,0.2491,0,1,Total_Units_Failed,0.4462,7.0,risk
182,0.2491,0,2,Application mode,0.4131,3.0,risk
182,0.2491,0,3,Approval_Rate_Sem2,0.3442,0.6667,risk
183,0.2297,0,1,Approval_Rate_Trend,0.2932,-0.1667,risk
183,0.2297,0,2,Approval_Rate_Sem2,0.2879,0.6667,risk
183,0.2297,0,3,Course,0.2878,13.0,risk
184,0.0747,0,1,Course,0.4054,16.0,risk
184,0.0747,0,2,Admission grade,0.3608,134.7,risk
184,0.0747,0,3,Age at enrollment,0.2759,33.0,risk
185,0.977,1,1,Tuition fees up to date,3.4786,0.0,risk
185,0.977,1,2,Approval_Rate_Sem1,0.3046,0.6,risk
185,0.977,1,3,Approval_Rate_Sem2,0.2824,0.6,risk
186,0.9917,1,1,Tuition fees up to date,2.6472,0.0,risk
186,0.9917,1,2,Approval_Rate_Sem2,0.6879,0.3333,risk
186,0.9917,1,3,GDP,0.4893,-1.7,risk
187,0.1476,1,1,Approval_Rate_Sem1,0.3993,0.4,risk
187,0.1476,1,2,Age at enrollment,0.3786,34.0,risk
187,0.1476,1,3,Scholarship holder,0.1782,0.0,risk
188,0.7211,1,1,Approval_Rate_Sem2,1.2287,0.5,risk
188,0.7211,1,2,Total_Units_Failed,0.7939,7.0,risk
188,0.7211,1,3,Approval_Rate_Trend,0.3788,-0.3333,risk
189,0.0216,0,1,Course,0.6019,13.0,risk
189,0.0216,0,2,GDP,0.2037,-3.12,risk
189,0.0216,0,3,Avg_Grade,0.1994,11.5,risk
190,0.074,1,1,Course,0.35,13.0,risk
190,0.074,1,2,Approval_Rate_Trend,0.253,-0.3333,risk
190,0.074,1,3,Total_Evaluations,0.1396,17.0,risk
191,0.0028,0,1,Course,0.121,14.0,risk
191,0.0028,0,2,Displaced,0.1035,1.0,risk
191,0.0028,0,3,Curricular units 1st sem (evaluations),0.0922,6.0,risk
192,0.1066,0,1,Course,0.5835,13.0,risk
192,0.1066,0,2,Father's occupation,0.4966,0.0,risk
192,0.1066,0,3,Father's qualification,0.3336,0.0,risk
193,0.1156,0,1,Approval_Rate_Sem2,0.6853,0.5,risk
193,0.1156,0,2,Approval_Rate_Trend,0.2056,-0.5,risk
193,0.1156,0,3,GDP,0.1361,-0.92,risk
194,0.0084,0,1,Scholarship holder,0.1762,0.0,risk
194,0.0084,0,2,Inflation rate,0.1104,0.5,risk
194,0.0084,0,3,Mother's qualification,0.0933,17.0,risk
195,0.945,0,1,Approval_Rate_Sem2,1.4153,0.0,risk
195,0.945,0,2,Total_Units_Failed,0.9804,6.0,risk
195,0.945,0,3,Grade_Drop,0.6234,11.5,risk
196,0.2844,0,1,Approval_Rate_Sem2,0.2629,0.7143,risk
196,0.2844,0,2,GDP,0.2609,-0.92,risk
196,0.2844,0,3,Approval_Rate_Sem1,0.2095,0.7143,risk
197,0.0295,0,1,Age at enrollment,0.5539,58.0,risk
197,0.0295,0,2,Mother's qualification,0.2329,17.0,risk
197,0.0295,0,3,Scholarship holder,0.187,0.0,risk
198,0.002,0,1,Mother's occupation,0.242,28.0,risk
198,0.002,0,2,Curricular units 2nd sem (credited),0.1307,5.0,risk
198,0.002,0,3,Enrollment_Drop,0.0817,2.0,risk
199,0.0068,0,1,Curricular units 1st sem (evaluations),0.132,8.0,risk
199,0.0068,0,2,Application mode,0.1092,4.0,risk
199,0.0068,0,3,Previous qualification (grade),0.1034,129.0,risk
200,0.2515,0,1,Course,0.9552,14.0,risk
200,0.2515,0,2,Admission grade,0.3989,133.4,risk
200,0.2515,0,3,Father's occupation,0.2135,43.0,risk
201,0.6945,0,1,Approval_Rate_Sem2,0.9694,0.0,risk
201,0.6945,0,2,Curricular units 2nd sem (approved),0.3589,0.0,risk
201,0.6945,0,3,Admission grade,0.3248,134.8,risk
202,0.0908,0,1,GDP,0.3461,-0.92,risk
202,0.0908,0,2,Previous qualification (grade),0.317,118.0,risk
202,0.0908,0,3,Mother's occupation,0.2564,27.0,risk
203,0.0171,0,1,Age at enrollment,0.4816,27.0,risk
203,0.0171,0,2,Mother's qualification,0.2061,17.0,risk
203,0.0171,0,3,Scholarship holder,0.183,0.0,risk
204,0.1937,0,1,Approval_Rate_Sem2,0.6075,0.5,risk
204,0.1937,0,2,Approval_Rate_Trend,0.4682,-0.5,risk
204,0.1937,0,3,Mother's occupation,0.4351,28.0,risk
205,0.01,0,1,Mother's qualification,0.1908,17.0,risk
205,0.01,0,2,Course,0.1572,11.0,risk
205,0.01,0,3,Curricular units 1st sem (evaluations),0.1528,7.0,risk
206,0.007,0,1,Age at enrollment,0.5523,47.0,risk
206,0.007,0,2,Course,0.2288,16.0,risk
206,0.007,0,3,Application mode,0.1524,9.0,risk
207,0.7791,0,1,Mother's occupation,0.8881,0.0,risk
207,0.7791,0,2,Father's occupation,0.8072,0.0,risk
207,0.7791,0,3,Mother's qualification,0.4668,14.0,risk
208,0.0019,0,1,Inflation rate,0.1647,0.6,risk
208,0.0019,0,2,Unemployment rate,0.0974,11.1,risk
208,0.0019,0,3,Grade_Drop,0.0795,-1.6667,risk
209,0.8132,1,1,Mother's occupation,0.7489,0.0,risk
209,0.8132,1,2,Approval_Rate_Sem2,0.488,0.6,risk
209,0.8132,1,3,Mother's qualification,0.4867,14.0,risk
210,0.0097,0,1,Previous qualification (grade),0.1963,160.0,risk
210,0.0097,0,2,Scholarship holder,0.107,0.0,risk
210,0.0097,0,3,Displaced,0.1007,1.0,risk
211,0.9984,1,1,Tuition fees up to date,2.6954,0.0,risk
211,0.9984,1,2,Approval_Rate_Sem2,0.811,0.2,risk
211,0.9984,1,3,Total_Units_Failed,0.469,8.0,risk
212,0.7967,1,1,Approval_Rate_Sem2,0.9358,0.3333,risk
212,0.7967,1,2,Total_Units_Failed,0.7482,7.0,risk
212,0.7967,1,3,Course,0.486,15.0,risk
213,0.9789,1,1,Approval_Rate_Sem2,1.3508,0.0,risk
213,0.9789,1,2,Total_Units_Failed,1.1557,12.0,risk
213,0.9789,1,3,Age at enrollment,0.4352,35.0,risk
214,0.0206,0,1,Application mode,0.1885,4.0,risk
214,0.0206,0,2,Mother's qualification,0.1443,17.0,risk
214,0.0206,0,3,Approval_Rate_Trend,0.1165,-0.1667,risk
215,0.0123,0,1,Approval_Rate_Trend,0.229,-0.1667,risk
215,0.0123,0,2,Unemployment rate,0.2,13.9,risk
215,0.0123,0,3,GDP,0.0845,0.79,risk
216,0.0052,0,1,Scholarship holder,0.1233,0.0,risk
216,0.0052,0,2,Application mode,0.1199,4.0,risk
216,0.0052,0,3,Curricular units 1st sem (evaluations),0.1117,8.0,risk
217,0.0026,0,1,Admission grade,0.3206,134.3,risk
217,0.0026,0,2,Mother's qualification,0.1883,17.0,risk
217,0.0026,0,3,GDP,0.131,-1.7,risk
218,0.0445,0,1,Course,0.6306,14.0,risk
218,0.0445,0,2,Father's occupation,0.1598,43.0,risk
218,0.0445,0,3,Unemployment rate,0.1547,12.7,risk
219,0.0034,0,1,GDP,0.1598,-1.7,risk
219,0.0034,0,2,Mother's qualification,0.1345,17.0,risk
219,0.0034,0,3,Unemployment rate,0.1024,12.7,risk
220,0.0262,0,1,Inflation rate,0.3787,0.6,risk
220,0.0262,0,2,Unemployment rate,0.2465,11.1,risk
220,0.0262,0,3,Previous qualification (grade),0.1997,137.0,risk
221,0.973,1,1,Tuition fees up to date,2.6139,0.0,risk
221,0.973,1,2,Approval_Rate_Sem2,0.6051,0.0,risk
221,0.973,1,3,Curricular units 2nd sem (evaluations),0.3817,0.0,risk
222,0.995,1,1,Tuition fees up to date,2.4098,0.0,risk
222,0.995,1,2,Approval_Rate_Sem2,1.0214,0.5,risk
222,0.995,1,3,Age at enrollment,0.7564,31.0,risk
223,0.07,0,1,Approval_Rate_Trend,0.4103,-0.0833,risk
223,0.07,0,2,Approval_Rate_Sem2,0.3178,0.75,risk
223,0.07,0,3,Curricular units 2nd sem (credited),0.1357,5.0,risk
224,0.1279,0,1,Course,0.3107,15.0,risk
224,0.1279,0,2,Approval_Rate_Sem1,0.1982,0.5,risk
224,0.1279,0,3,Admission grade,0.1765,146.0,risk
225,0.37,0,1,Approval_Rate_Sem2,0.9228,0.0,risk
225,0.37,0,2,Curricular units 2nd sem (approved),0.4134,0.0,risk
225,0.37,0,3,Approval_Rate_Sem1,0.4037,0.0,risk
226,0.0023,0,1,Course,0.3464,14.0,risk
226,0.0023,0,2,Displaced,0.1533,1.0,risk
226,0.0023,0,3,Curricular units 1st sem (evaluations),0.1085,6.0,risk
227,0.0392,0,1,Approval_Rate_Trend,0.2457,-0.3333,risk
227,0.0392,0,2,Approval_Rate_Sem2,0.1988,0.6667,risk
227,0.0392,0,3,Total_Evaluations,0.1282,18.0,risk
228,0.1562,0,1,Course,0.8354,15.0,risk
228,0.1562,0,2,Mother's qualification,0.2614,17.0,risk
228,0.1562,0,3,Grade_Drop,0.2405,1.2,risk
229,0.7884,1,1,Approval_Rate_Sem2,1.0459,0.5,risk
229,0.7884,1,2,Approval_Rate_Sem1,0.3986,0.6667,risk
229,0.7884,1,3,Age at enrollment,0.3488,35.0,risk
230,0.0318,0,1,Approval_Rate_Trend,0.583,-0.0909,risk
230,0.0318,0,2,Age at enrollment,0.2042,37.0,risk
230,0.0318,0,3,Curricular units 2nd sem (credited),0.1636,6.0,risk
231,0.675,1,1,Approval_Rate_Sem2,1.0459,0.4,risk
231,0.675,1,2,Total_Units_Failed,0.707,7.0,risk
231,0.675,1,3,Approval_Rate_Sem1,0.2821,0.2,risk
232,0.9989,1,1,Tuition fees up to date,2.3114,0.0,risk
232,0.9989,1,2,Approval_Rate_Sem2,0.9814,0.0,risk
232,0.9989,1,3,Total_Units_Failed,0.624,10.0,risk
233,0.1151,0,1,Admission grade,0.4182,135.9,risk
233,0.1151,0,2,Grade_Drop,0.2238,1.8667,risk
233,0.1151,0,3,GDP,0.1083,-3.12,risk
234,0.092,0,1,Course,0.6764,15.0,risk
234,0.092,0,2,Debtor,0.4158,1.0,risk
234,0.092,0,3,Financial_Risk_Score,0.3147,1.0,risk
235,0.971,1,1,Approval_Rate_Sem2,1.3919,0.0,risk
235,0.971,1,2,Total_Units_Failed,1.178,14.0,risk
235,0.971,1,3,Curricular units 2nd sem (approved),0.4606,0.0,risk
236,0.0126,0,1,Displaced,0.1722,1.0,risk
236,0.0126,0,2,Curricular units 1st sem (evaluations),0.1347,8.0,risk
236,0.0126,0,3,Application mode,0.0961,4.0,risk
237,0.9093,1,1,Tuition fees up to date,2.6165,0.0,risk
237,0.9093,1,2,Age at enrollment,0.6546,29.0,risk
237,0.9093,1,3,GDP,0.5306,-1.7,risk
238,0.9985,1,1,Tuition fees up to date,1.8222,0.0,risk
238,0.9985,1,2,Approval_Rate_Sem2,1.0516,0.0,risk
238,0.9985,1,3,Father's occupation,0.5488,0.0,risk
239,0.9334,1,1,Approval_Rate_Sem2,0.9674,0.2,risk
239,0.9334,1,2,Total_Units_Failed,0.7376,6.0,risk
239,0.9334,1,3,Course,0.5331,13.0,risk
240,0.0148,1,1,Curricular units 1st sem (without evaluations),0.1928,3.0,risk
240,0.0148,1,2,Previous qualification (grade),0.1867,122.0,risk
240,0.0148,1,3,Grade_Drop,0.0801,1.05,risk
241,0.9876,1,1,Approval_Rate_Sem2,1.468,0.0,risk
241,0.9876,1,2,Total_Units_Failed,1.2485,12.0,risk
241,0.9876,1,3,Age at enrollment,0.4849,58.0,risk
242,0.0474,0,1,Course,0.4513,14.0,risk
242,0.0474,0,2,Unemployment rate,0.2671,11.1,risk
242,0.0474,0,3,Inflation rate,0.2562,0.6,risk
243,0.0214,0,1,Mother's qualification,0.2468,18.0,risk
243,0.0214,0,2,Displaced,0.1974,1.0,risk
243,0.0214,0,3,Admission grade,0.1795,132.5,risk
244,0.1752,1,1,Approval_Rate_Trend,0.878,-0.0238,risk
244,0.1752,1,2,Course,0.5694,15.0,risk
244,0.1752,1,3,Mother's qualification,0.2411,17.0,risk
245,0.5728,0,1,Approval_Rate_Sem2,0.9683,0.5,risk
245,0.5728,0,2,Approval_Rate_Trend,0.2986,-0.3,risk
245,0.5728,0,3,Curricular units 2nd sem (evaluations),0.2674,4.0,risk
246,0.1209,0,1,Course,0.409,13.0,risk
246,0.1209,0,2,Approval_Rate_Sem2,0.33,0.6,risk
246,0.1209,0,3,Approval_Rate_Trend,0.1442,-0.2,risk
247,0.0392,0,1,Scholarship holder,0.1613,0.0,risk
247,0.0392,0,2,Unemployment rate,0.1468,12.4,risk
247,0.0392,0,3,Inflation rate,0.1393,0.5,risk
248,0.0192,0,1,Curricular units 1st sem (evaluations),0.1572,8.0,risk
248,0.0192,0,2,Unemployment rate,0.1494,15.5,risk
248,0.0192,0,3,Mother's occupation,0.1436,26.0,risk
249,0.0356,0,1,Approval_Rate_Sem1,0.3829,0.6,risk
249,0.0356,0,2,Unemployment rate,0.2198,13.9,risk
249,0.0356,0,3,Scholarship holder,0.1561,0.0,risk
250,0.0519,0,1,Course,0.3335,16.0,risk
250,0.0519,0,2,Previous qualification (grade),0.1938,120.0,risk
250,0.0519,0,3,Scholarship holder,0.1241,0.0,risk
251,0.0541,0,1,Approval_Rate_Sem2,0.3446,0.6,risk
251,0.0541,0,2,Approval_Rate_Trend,0.1723,-0.2,risk
251,0.0541,0,3,Previous qualification (grade),0.1323,118.0,risk
252,0.9974,1,1,Tuition fees up to date,2.1694,0.0,risk
252,0.9974,1,2,Approval_Rate_Sem2,0.8733,0.0,risk
252,0.9974,1,3,Age at enrollment,0.5926,29.0,risk
253,0.0062,0,1,Grade_Drop,0.1823,-1.7857,risk
253,0.0062,0,2,Mother's qualification,0.1385,0.0,risk
253,0.0062,0,3,Unemployment rate,0.1062,12.4,risk
254,0.9926,1,1,Approval_Rate_Sem2,1.3615,0.0,risk
254,0.9926,1,2,Total_Units_Failed,1.0749,10.0,risk
254,0.9926,1,3,Curricular units 2nd sem (evaluations),0.671,0.0,risk
255,0.0069,0,1,Father's occupation,0.2235,2.0,risk
255,0.0069,0,2,Unemployment rate,0.1203,15.5,risk
255,0.0069,0,3,Curricular units 1st sem (evaluations),0.1091,8.0,risk
256,0.9988,1,1,Tuition fees up to date,2.1426,0.0,risk
256,0.9988,1,2,Approval_Rate_Sem2,0.8646,0.0,risk
256,0.9988,1,3,Total_Units_Failed,0.5135,7.0,risk
257,0.0149,0,1,Age at enrollment,0.238,26.0,risk
257,0.0149,0,2,Previous qualification (grade),0.1668,123.0,risk
257,0.0149,0,3,Scholarship holder,0.1089,0.0,risk
258,0.002,0,1,Curricular units 1st sem (evaluations),0.0734,7.0,risk
258,0.002,0,2,Scholarship holder,0.0728,0.0,risk
258,0.002,0,3,Curricular units 2nd sem (evaluations),0.0213,6.0,risk
259,0.029,0,1,Application mode,0.3176,3.0,risk
259,0.029,0,2,Father's occupation,0.2093,43.0,risk
259,0.029,0,3,GDP,0.1908,-0.92,risk
260,0.0188,0,1,Father's occupation,0.6169,1.0,risk
260,0.0188,0,2,Inflation rate,0.0958,0.3,risk
260,0.0188,0,3,Application mode,0.0933,4.0,risk
261,0.0146,0,1,Unemployment rate,0.1457,12.7,risk
261,0.0146,0,2,Scholarship holder,0.0985,0.0,risk
261,0.0146,0,3,GDP,0.0815,-1.7,risk
262,0.0156,0,1,Course,0.2831,16.0,risk
262,0.0156,0,2,Gender,0.1295,1.0,risk
262,0.0156,0,3,Father's occupation,0.1104,43.0,risk
263,0.0234,0,1,Approval_Rate_Trend,0.4803,-0.1667,risk
263,0.0234,0,2,Inflation rate,0.1578,0.5,risk
263,0.0234,0,3,Mother's occupation,0.1379,27.0,risk
264,0.0447,0,1,Admission grade,0.1827,136.8,risk
264,0.0447,0,2,Curricular units 2nd sem (grade),0.1658,13.6667,risk
264,0.0447,0,3,Curricular units 1st sem (evaluations),0.0929,8.0,risk
265,0.0134,0,1,Mother's occupation,0.7325,0.0,risk
265,0.0134,0,2,Father's occupation,0.6473,0.0,risk
265,0.0134,0,3,Age at enrollment,0.3214,30.0,risk
266,0.1995,0,1,Age at enrollment,0.4493,25.0,risk
266,0.1995,0,2,Approval_Rate_Trend,0.3664,-0.1667,risk
266,0.1995,0,3,Course,0.3047,13.0,risk
267,0.1279,0,1,Approval_Rate_Trend,0.5705,-0.4,risk
267,0.1279,0,2,Approval_Rate_Sem2,0.28,0.6,risk
267,0.1279,0,3,Application mode,0.2092,4.0,risk
268,0.013,1,1,Approval_Rate_Sem1,0.3696,0.6667,risk
268,0.013,1,2,Father's qualification,0.2761,0.0,risk
268,0.013,1,3,Application mode,0.2044,4.0,risk
269,0.0492,0,1,Approval_Rate_Trend,0.5146,-0.3333,risk
269,0.0492,0,2,Approval_Rate_Sem2,0.3438,0.6667,risk
269,0.0492,0,3,Father's occupation,0.1369,43.0,risk
270,0.0511,0,1,Age at enrollment,0.1958,24.0,risk
270,0.0511,0,2,Father's occupation,0.1481,43.0,risk
270,0.0511,0,3,Unemployment rate,0.1039,12.7,risk
271,0.9991,1,1,Tuition fees up to date,1.9498,0.0,risk
271,0.9991,1,2,Approval_Rate_Sem2,0.9733,0.0,risk
271,0.9991,1,3,Total_Units_Failed,0.8547,12.0,risk
272,0.0757,0,1,Mother's occupation,0.7527,0.0,risk
272,0.0757,0,2,Father's occupation,0.6037,0.0,risk
272,0.0757,0,3,Age at enrollment,0.3899,30.0,risk
273,0.9671,1,1,Approval_Rate_Sem2,1.0731,0.2,risk
273,0.9671,1,2,Total_Units_Failed,0.6995,6.0,risk
273,0.9671,1,3,Age at enrollment,0.4563,30.0,risk
274,0.0158,0,1,Mother's qualification,0.133,17.0,risk
274,0.0158,0,2,Father's occupation,0.1267,43.0,risk
274,0.0158,0,3,Displaced,0.1118,1.0,risk
275,0.0096,0,1,Avg_Grade,0.1757,11.5714,risk
275,0.0096,0,2,Curricular units 1st sem (grade),0.155,11.5714,risk
275,0.0096,0,3,Previous qualification (grade),0.1465,120.0,risk
276,0.9876,1,1,Tuition fees up to date,2.0225,0.0,risk
276,0.9876,1,2,Approval_Rate_Sem2,0.9841,0.1429,risk
276,0.9876,1,3,Total_Units_Failed,0.7838,12.0,risk
277,0.0083,0,1,Age at enrollment,0.4225,26.0,risk
277,0.0083,0,2,GDP,0.2865,-0.92,risk
277,0.0083,0,3,Scholarship holder,0.1133,0.0,risk
278,0.0044,0,1,Mother's occupation,0.1249,27.0,risk
278,0.0044,0,2,GDP,0.1206,-0.92,risk
278,0.0044,0,3,Curricular units 1st sem (evaluations),0.0919,7.0,risk
279,0.0487,0,1,Admission grade,0.3984,137.5,risk
279,0.0487,0,2,Displaced,0.1535,1.0,risk
279,0.0487,0,3,Scholarship holder,0.1522,0.0,risk
280,0.0142,0,1,Admission grade,0.1784,130.0,risk
280,0.0142,0,2,Father's occupation,0.1276,43.0,risk
280,0.0142,0,3,Scholarship holder,0.1064,0.0,risk
281,0.9903,1,1,Approval_Rate_Sem2,1.3364,0.0,risk
281,0.9903,1,2,Total_Units_Failed,0.9409,10.0,risk
281,0.9903,1,3,Curricular units 2nd sem (approved),0.4079,0.0,risk
282,0.9169,1,1,Approval_Rate_Sem2,1.2173,0.0,risk
282,0.9169,1,2,Total_Units_Failed,0.8368,12.0,risk
282,0.9169,1,3,Curricular units 2nd sem (approved),0.4113,0.0,risk
283,0.9943,1,1,Approval_Rate_Sem2,1.3328,0.0,risk
283,0.9943,1,2,Total_Units_Failed,1.0161,10.0,risk
283,0.9943,1,3,Curricular units 2nd sem (approved),0.4812,0.0,risk
284,0.9197,1,1,Approval_Rate_Sem2,1.443,0.0,risk
284,0.9197,1,2,Total_Units_Failed,0.9113,6.0,risk
284,0.9197,1,3,Grade_Drop,0.5641,13.8333,risk
285,0.0134,0,1,Father's qualification,0.2199,0.0,risk
285,0.0134,0,2,Unemployment rate,0.1656,15.5,risk
285,0.0134,0,3,Displaced,0.1045,1.0,risk
286,0.0057,0,1,Admission grade,0.1631,135.8,risk
286,0.0057,0,2,Curricular units 1st sem (evaluations),0.1492,7.0,risk
286,0.0057,0,3,Scholarship holder,0.1422,0.0,risk
287,0.773,1,1,Approval_Rate_Sem2,1.1101,0.0,risk
287,0.773,1,2,Curricular units 2nd sem (approved),0.4908,0.0,risk
